district	firstname	lastname	party	committee_leadership	committee_membership	UID
MD03	John	Sarbanes	D	[]	['IF00_118', 'IF03_118', 'IF14_118', 'IF18_118']	S001168
MD04	Glenn	Ivey	D	['HM09_118']	['HM00_118', 'JU00_118', 'SO00_118', 'JU03_118', 'JU05_118', 'JU13_118']	I000058
MD05	Steny	Hoyer	D	['AP23_118']	['AP00_118', 'AP07_118']	H000874
MD06	David	Trone	D	[]	['AP00_118', 'BU00_118', 'AP15_118', 'AP19_118']	T000483
MD07	Kweisi	Mfume	D	['GO24_118', 'SM24_118']	['GO00_118', 'SM00_118', 'VC00_118', 'GO12_118', 'SM23_118']	M000687
MD08	Jamie	Raskin	D	['GO00_118']	[]	R000606
ME01	Chellie	Pingree	D	['AP06_118']	['AG00_118', 'AP00_118', 'AP01_118', 'AP18_118']	P000597
ME02	Jared	Golden	D	[]	['AS00_118', 'SM00_118', 'AS28_118', 'AS35_118', 'SM21_118', 'SM24_118', 'SM27_118']	G000592
MI01	Jack	Bergman	R	['AS26_118']	['AS00_118', 'BU00_118', 'VR00_118', 'AS02_118', 'AS28_118', 'VR03_118', 'VR08_118']	B001301
MI02	John	Moolenaar	R	[]	['AP00_118', 'ZS00_118', 'AP01_118', 'AP07_118', 'AP23_118']	M001194
MI03	Hillary	Scholten	D	['SM23_118']	['PW00_118', 'SM00_118', 'PW02_118', 'PW05_118', 'PW07_118', 'SM21_118']	S001221
MI04	Bill	Huizenga	R	['BA09_118']	['BA00_118', 'FA00_118', 'BA16_118', 'FA07_118', 'FA14_118']	H001058
MI05	Tim	Walberg	R	[]	['ED00_118', 'IF00_118', 'ED02_118', 'IF03_118', 'IF16_118', 'IF17_118']	W000798
MI06	Debbie	Dingell	D	[]	['IF00_118', 'II00_118', 'VC00_118', 'IF14_118', 'IF16_118', 'IF17_118', 'II06_118', 'II13_118']	D000624
MI07	Elissa	Slotkin	D	[]	['AG00_118', 'AS00_118', 'AS26_118', 'AS35_118']	S001208
MI08	Daniel	Kildee	D	[]	['BU00_118', 'WM00_118', 'WM01_118', 'WM04_118']	K000380
MI09	Lisa	McClain	R	['GO27_118']	['AS00_118', 'BU00_118', 'ED00_118', 'GO00_118', 'AS25_118', 'AS35_118', 'ED14_118', 'GO05_118']	M001136
MI10	John	James	R	['FA16_118']	['ED00_118', 'FA00_118', 'PW00_118', 'ED13_118', 'FA06_118', 'PW02_118', 'PW05_118']	J000307
MI11	Haley	Stevens	D	['SY15_118']	['ED00_118', 'SY00_118', 'ZS00_118', 'ED10_118']	S001215
MI12	Rashida	Tlaib	D	[]	['BA00_118', 'BA04_118', 'BA09_118']	T000481
MI13	Shri	Thanedar	D	['HM07_118']	['HM00_118', 'SM00_118', 'HM09_118', 'HM11_118', 'SM22_118', 'SM23_118']	T000488
